#since we restart everything set timestep to 0
reset_timestep   0
#directives for computing properties
compute          csym all centro/atom fcc
compute          peratom all pe/atom


# --- STORE INITIAL LENGTH AND SPECIFY STRAIN RATE -----------------------------
# assign varaibles for estimating strain and strain rate
# first store length of the sytem
variable        L0 equal $(lx)
variable        L0 equal 151.75464058626582187
# assign a strain rate which should equilibriate after each step
variable        srate equal 0.013e10
variable        srate1 equal "v_srate / 1.05e15"
print            "${srate1}"
1.23809523809524e-07
# fix for deforming the system in x-direction
fix             2 all deform 1 x erate ${srate1} units box remap x
fix             2 all deform 1 x erate 1.23809523809524e-07 units box remap x


# ---- SPECIFY COMPUTES --------------------------------------------------------
# Output strain and stress information to file
# for units metal, pressure is in [bar] = 100kPa = 1/10000 [GPa]
# for units real, pressure is in [atm] = 101.325 [kPa] = 101.325e-6 [GPa]
# p1, p2, p3, p4 aer in GPa
variable       strain equal "(lx - v_L0)/v_L0"
variable       p1 equal "v_strain"
variable       p2 equal "-pxx*101.325e-6"
variable       p3 equal "-pyy*101.325e-6"
variable       p4 equal "-pzz*101.325e-6"


# ---- STORE INITIALS AND ENFORCE DEFORMATION ----------------------------------
# fix for writing the strain and stresses to file
fix            def1 all print 100 "{p1}_{p2}_{p3}_{p4}" file stress_strain.txt screen no
# writing trajectory
dump           2 all atom 5000 ./dump/dump.tensile_*.atom
dump           3 all cfg 5000 ./dump/dump.test.*.cfg mass type xs ys zs id type c_peratom
dump           4 all atom 5000 ./dump/dump.xyz_*.xyz
# display thermo
thermo          1000
thermo_style   custom step v_strain temp v_p2 v_p3 v_p4 ke pe press
#run the simulation
run            ${Steps}
run            200000
Neighbor list info ...
  2 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 22 22 1
Memory usage per processor = 5.91748 Mbytes
Step v_strain Temp v_p2 v_p3 v_p4 KinEng PotEng Press 
   84000       0.0104    9.7988645    0.1162227 0.0086414341            0    35.030792   -1367.0615    -616.1566 
   85000   0.01052381    9.7988645   0.11732479 0.0090548719            0    35.030792   -1367.0088   -623.63512 
   86000  0.010647619    9.7988645   0.11842366 0.0094676029            0    35.030792   -1366.9552    -631.0943 
   87000  0.010771429    9.7988645   0.11952012 0.0098797229            0    35.030792   -1366.9011   -638.53856 
   88000  0.010895238    9.7988645   0.12061593  0.010291244            0    35.030792   -1366.8476    -645.9767 
   89000  0.011019048    9.7988645    0.1217094  0.010702099            0    35.030792   -1366.7936   -653.39996 
   90000  0.011142857    9.7988645   0.12280053  0.011112288            0    35.030792   -1366.7392   -660.80838 
   91000  0.011266667    9.7988645   0.12388855  0.011521694            0    35.030792   -1366.6838   -668.19758 
   92000  0.011390476    9.7988645   0.12497367  0.011930108            0    35.030792   -1366.6275   -675.56761 
   93000  0.011514286    9.7988645   0.12605738  0.012337825            0    35.030792   -1366.5713   -682.92725 
   94000  0.011638095    9.7988645   0.12713918  0.012745365            0    35.030792    -1366.515   -690.27654 
   95000  0.011761905    9.7988645   0.12821865  0.013152244            0    35.030792   -1366.4584   -697.61111 
   96000  0.011885714    9.7988645   0.12929411  0.013558382            0    35.030792   -1366.4003   -704.92222 
   97000  0.012009524    9.7988645   0.13036809  0.013963909            0    35.030792   -1366.3423   -712.22306 
   98000  0.012133333    9.7988645   0.13143975  0.014367911            0    35.030792   -1366.2833   -719.50487 
   99000  0.012257143    9.7988645   0.13250598  0.014771713            0    35.030792   -1366.2224   -726.75893 
  100000  0.012380952    9.7988645   0.13357391  0.015175308            0    35.030792   -1366.1636   -734.02033 
  101000  0.012504762    9.7988645   0.13463772  0.015577411            0    35.030792   -1366.1028   -741.25403 
  102000  0.012628571    9.7988645   0.13570025  0.015979622            0    35.030792   -1366.0426   -748.48196 
  103000  0.012752381    9.7988645    0.1367596  0.016381186            0    35.030792   -1365.9814     -755.691 
  104000   0.01287619    9.7988645    0.1378175  0.016782147            0    35.030792   -1365.9203   -762.88995 
  105000        0.013    9.7988645   0.13887158  0.017182232            0    35.030792   -1365.8578   -770.06568 
  106000   0.01312381    9.7988645   0.13992579  0.017581918            0    35.030792   -1365.7964   -777.24013 
  107000  0.013247619    9.7988645   0.14097774  0.017980956            0    35.030792   -1365.7345   -784.40017 
  108000  0.013371429    9.7988645   0.14202526  0.018378842            0    35.030792   -1365.6707   -791.53269 
  109000  0.013495238    9.7988645   0.14307171  0.018775771            0    35.030792   -1365.6069   -798.65525 
  110000  0.013619048    9.7988645   0.14411554  0.019172431            0    35.030792   -1365.5428   -805.76348 
  111000  0.013742857    9.7988645   0.14515756  0.019568882            0    35.030792   -1365.4787   -812.86179 
  112000  0.013866667    9.7988645   0.14619745  0.019964572            0    35.030792   -1365.4141   -819.94582 
  113000  0.013990476    9.7988645   0.14723585  0.020359743            0    35.030792   -1365.3497   -827.01997 
  114000  0.014114286    9.7988645   0.14826953    0.0207541            0    35.030792   -1365.2833   -834.06678 
  115000  0.014238095    9.7988645   0.14930089  0.021147899            0    35.030792   -1365.2165   -841.09939 
  116000  0.014361905    9.7988645   0.15033094  0.021541026            0    35.030792   -1365.1498   -848.12221 
  117000  0.014485714    9.7988645   0.15135826  0.021933127            0    35.030792   -1365.0822   -855.12651 
  118000  0.014609524    9.7988645    0.1523855  0.022325104            0    35.030792   -1365.0156   -862.12981 
  119000  0.014733333    9.7988645   0.15341011  0.022715971            0    35.030792   -1364.9481   -869.11463 
  120000  0.014857143    9.7988645   0.15443122  0.023105709            0    35.030792   -1364.8792   -876.07663 
  121000  0.014980952    9.7988645   0.15545181   0.02349578            0    35.030792   -1364.8114    -883.0377 
  122000  0.015104762    9.7988645   0.15647019  0.023885219            0    35.030792   -1364.7431   -889.98474 
  123000  0.015228571    9.7988645   0.15748505  0.024273568            0    35.030792   -1364.6735   -896.90903 
  124000  0.015352381    9.7988645   0.15849672  0.024660506            0    35.030792   -1364.6024   -903.81062 
  125000   0.01547619    9.7988645   0.15950762  0.025047154            0    35.030792   -1364.5319     -910.707 
  126000       0.0156    9.7988645   0.16051679  0.025433596            0    35.030792   -1364.4615   -917.59383 
  127000   0.01572381    9.7988645    0.1615228  0.025819501            0    35.030792   -1364.3902   -924.46239 
  128000  0.015847619    9.7988645   0.16252719    0.0262051            0    35.030792    -1364.319   -931.32144 
  129000  0.015971429    9.7988645   0.16353022  0.026590135            0    35.030792   -1364.2479     -938.171 
  130000  0.016095238    9.7988645   0.16452938  0.026974467            0    35.030792   -1364.1753     -944.998 
  131000  0.016219048    9.7988645   0.16552712  0.027357422            0    35.030792   -1364.1024   -951.81121 
  132000  0.016342857    9.7988645   0.16652363  0.027740584            0    35.030792     -1364.03   -958.61937 
  133000  0.016466667    9.7988645   0.16751559  0.028122854            0    35.030792   -1363.9557   -965.40067 
  134000  0.016590476    9.7988645   0.16850639  0.028504392            0    35.030792   -1363.8815   -972.17262 
  135000  0.016714286    9.7988645   0.16949515  0.028885193            0    35.030792    -1363.807   -978.93087 
  136000  0.016838095    9.7988645   0.17048303  0.029265871            0    35.030792    -1363.733   -985.68417 
  137000  0.016961905    9.7988645   0.17146642  0.029645611            0    35.030792   -1363.6571   -992.41072 
  138000  0.017085714    9.7988645   0.17244916  0.030025017            0    35.030792   -1363.5818   -999.13236 
  139000  0.017209524    9.7988645    0.1734306  0.030403841            0    35.030792   -1363.5066   -1005.8448 
  140000  0.017333333    9.7988645   0.17440837  0.030781814            0    35.030792     -1363.43   -1012.5349 
  141000  0.017457143    9.7988645   0.17538388  0.031159313            0    35.030792    -1363.353   -1019.2114 
  142000  0.017580952    9.7988645   0.17635814  0.031536188            0    35.030792   -1363.2761   -1025.8788 
  143000  0.017704762    9.7988645   0.17733029   0.03191244            0    35.030792   -1363.1988   -1032.5326 
  144000  0.017828571    9.7988645   0.17830109  0.032288195            0    35.030792   -1363.1216   -1039.1773 
  145000  0.017952381    9.7988645   0.17926897  0.032663263            0    35.030792   -1363.0435   -1045.8042 
  146000   0.01807619    9.7988645   0.18023428  0.033037289            0    35.030792   -1362.9645   -1052.4133 
  147000       0.0182    9.7988645   0.18119624  0.033411063            0    35.030792   -1362.8846   -1059.0047 
  148000   0.01832381    9.7988645   0.18215531  0.033784126            0    35.030792   -1362.8038   -1065.5783 
  149000  0.018447619    9.7988645   0.18311384  0.034156796            0    35.030792   -1362.7237   -1072.1472 
  150000  0.018571429    9.7988645    0.1840695  0.034528747            0    35.030792   -1362.6426   -1078.6985 
  151000  0.018695238    9.7988645    0.1850252  0.034899728            0    35.030792   -1362.5622   -1085.2451 
  152000  0.018819048    9.7988645   0.18597708  0.035270064            0    35.030792   -1362.4803   -1091.7698 
  153000  0.018942857    9.7988645   0.18692814  0.035640296            0    35.030792   -1362.3991   -1098.2899 
  154000  0.019066667    9.7988645   0.18787591  0.036009372            0    35.030792   -1362.3164    -1104.788 
  155000  0.019190476    9.7988645   0.18882319  0.036378022            0    35.030792   -1362.2344   -1111.2816 
  156000  0.019314286    9.7988645    0.1897665  0.036746209            0    35.030792    -1362.151   -1117.7533 
  157000  0.019438095    9.7988645   0.19070935  0.037113943            0    35.030792   -1362.0682   -1124.2205 
  158000  0.019561905    9.7988645   0.19164919  0.037481134            0    35.030792   -1361.9846   -1130.6703 
  159000  0.019685714    9.7988645   0.19258747  0.037847238            0    35.030792   -1361.9005   -1137.1069 
  160000  0.019809524    9.7988645   0.19352404  0.038213269            0    35.030792   -1361.8166   -1143.5347 
  161000  0.019933333    9.7988645   0.19445809  0.038578284            0    35.030792   -1361.7317   -1149.9451 
  162000  0.020057143    9.7988645   0.19539017  0.038942632            0    35.030792   -1361.6465   -1156.3425 
  163000  0.020180952    9.7988645   0.19632089   0.03930657            0    35.030792   -1361.5614   -1162.7311 
  164000  0.020304762    9.7988645   0.19724829  0.039669434            0    35.030792    -1361.475   -1169.0981 
  165000  0.020428571    9.7988645   0.19817461  0.040032504            0    35.030792   -1361.3891   -1175.4607 
  166000  0.020552381    9.7988645   0.19909972   0.04039503            0    35.030792   -1361.3034   -1181.8147 
  167000   0.02067619    9.7988645   0.20002281  0.040756965            0    35.030792   -1361.2173   -1188.1558 
  168000       0.0208    9.7988645   0.20094386  0.041118311            0    35.030792   -1361.1308   -1194.4839 
  169000   0.02092381    9.7988645   0.20186042  0.041478891            0    35.030792   -1361.0424   -1200.7861 
