run 40000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 9 9 9
Memory usage per processor = 3.8843 Mbytes
Step Time Lx Ly Lz Press Density Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
     435          435    66.599959    66.599959    66.599959     24.15539    2.5976159    47.036523    10.267812    15.161835   -10750.508    117.64417   -10750.508    1866.6426   -8883.8658 
     440          440    66.619812    66.619812    66.619812    17.657632    2.5952943    39.215197    4.9276942    8.8300043   -10741.781    117.86492   -10741.781    1870.1453   -8871.6359 
     445          445     66.68904     66.68904     66.68904   -29.052279    2.5872204   -9.1410431    -40.46322   -37.552573    -10729.52    117.91983    -10729.52    1871.0166   -8858.5034 
     450          450    66.667807    66.667807    66.667807   -2.0830758    2.5896931    16.744568   -12.469907   -10.523889   -10724.052    118.30587   -10724.052    1877.1418   -8846.9103 
     455          455    66.616328    66.616328    66.616328    50.182101    2.5957016    68.087305    40.708784    41.750214   -10720.509    118.81562   -10720.509    1885.2299   -8835.2789 
     460          460    66.732404    66.732404    66.732404   -35.078571      2.58218   -19.034613   -43.148564   -43.052536   -10705.534    118.74283   -10705.534    1884.0749   -8821.4595 
     465          465    66.799683    66.799683    66.799683   -78.975224    2.5743857   -64.465386   -85.810403   -86.649881   -10693.449    118.85081   -10693.449    1885.7882   -8807.6604 
     470          470    66.589264    66.589264    66.589264    102.21587    2.5988678    116.51432    96.004205    94.129088   -10701.675    119.96979   -10701.675    1903.5429   -8798.1317 
     475          475    66.688222    66.688222    66.688222    29.085958    2.5873156    41.742412    24.138692    21.376772   -10689.285    119.99717   -10689.285    1903.9773   -8785.3074 
     480          480    66.849598    66.849598    66.849598   -90.410173    2.5686234   -79.584487   -94.047934   -97.598098   -10670.503    119.80494   -10670.503    1900.9272   -8769.5762 
     485          485    66.720212    66.720212    66.720212    21.565738    2.5835958     31.76648    18.802337    14.128396    -10674.71     120.6703    -10674.71    1914.6579   -8760.0521 
     490          490    66.686375    66.686375    66.686375    58.647201    2.5875306     67.84527    56.917588    51.178745   -10670.873    121.20923   -10670.873    1923.2089   -8747.6637 
     495          495    66.821302    66.821302    66.821302   -41.277307    2.5718879   -33.591558   -41.858719   -48.381642   -10655.324    121.14207   -10655.324    1922.1433   -8733.1807 
     500          500    66.807519    66.807519    66.807519   -21.327223    2.5734799   -14.622178   -20.858277   -28.501215   -10650.632    121.62046   -10650.632    1929.7338   -8720.8981 
     505          505    66.741665    66.741665    66.741665    40.898963    2.5811053    46.837077    42.412967    33.446846   -10649.547    122.30073   -10649.547    1940.5276   -8709.0191 
     510          510    66.806909    66.806909    66.806909   -2.7136895    2.5735504    2.1233925  -0.11911154   -10.145349   -10639.243    122.50761   -10639.243    1943.8102   -8695.4327 
     515          515     66.83288     66.83288     66.83288   -14.304872    2.5705514   -10.370214   -10.657101   -21.887302   -10631.581    122.86139   -10631.581    1949.4236   -8682.1575 
     520          520    66.813681    66.813681    66.813681     10.15039     2.572768    13.357404    14.921437    2.1723289   -10627.333    123.38627   -10627.333    1957.7516   -8669.5816 
     525          525    66.828631    66.828631    66.828631    7.4186569    2.5710418    9.8788091    13.303862   -0.9267001   -10620.498    123.78866   -10620.498    1964.1363   -8656.3612 
     530          530    66.863864    66.863864    66.863864    -11.29564    2.5669796   -9.4935587   -4.3339661   -20.059395   -10612.039    124.11629   -10612.039    1969.3349   -8642.7045 
     535          535    66.860253    66.860253    66.860253   0.94089634    2.5673955    2.1857384    9.0569341   -8.4199835   -10606.456    124.58775   -10606.456    1976.8153    -8629.641 
